item_,vote_average,vote_count
619,3.171875,64
963,4.292682927,41
269,3.926984127,315
180,4.045248869,221
380,3.336206897,116
692,3.62804878,164
168,4.066455696,316
474,4.25257732,194
100,4.155511811,508
25,3.443686007,293
393,3.411458333,192
892,2.754716981,53
472,3.082278481,158
756,2.8984375,128
658,3.417721519,79
78,2.454545455,33
325,2.546875,128
138,2.578947368,19
948,2.166666667,48
22,4.151515152,297
423,3.833333333,300
355,2.926829268,41
403,3.427860697,201
43,3,40
670,3,36
1098,3.69047619,42
335,2.761904762,21
173,4.172839506,324
625,3.329268293,82
1327,2.333333333,3
153,3.785425101,247
1041,3.193548387,62
1,3.878318584,452
303,3.686567164,134
245,3.108333333,240
729,3.481481481,81
91,3.587412587,143
321,3.130177515,169
363,2.723404255,47
674,2.895833333,48
54,3.240384615,104
1451,3.866666667,15
604,4.012345679,81
280,3.188235294,85
1011,3.225806452,93
151,3.63190184,326
904,3.45,20
485,3.816,125
1278,3.625,16
129,3.821705426,129
309,2.857142857,28
83,4.0625,176
51,3.456790123,81
647,4.1,70
227,3.279503106,161
294,3.156701031,485
408,4.491071429,112
826,2.575,80
455,3.255172414,145
718,3.6875,16
337,3,18
484,4.210144928,138
504,3.819672131,122
742,3.644194757,267
42,3.804054054,148
87,3.905797101,138
1208,2.85,20
665,2.83,100
1436,2.5,2
745,3.875,16
244,3.166666667,48
34,2.714285714,7
179,3.909502262,221
979,3.2,35
152,3.634146341,82
311,3.68,75
167,2.955223881,67
650,3.541666667,72
1207,2.294117647,17
786,2.642857143,14
614,3.745098039,51
810,2.888888889,45
789,3.574468085,47
544,3.154929577,71
123,3.234782609,115
407,2.511627907,43
465,3.564705882,85
785,3.153846154,39
1184,2.5,10
498,4.184210526,152
815,3.232142857,112
1134,3.315789474,38
787,3.230769231,13
1240,3.653846154,26
719,2.413793103,29
944,3,43
468,3.3125,64
198,4.007874016,127
724,3.486842105,76
1110,2.853658537,41
57,4,40
399,3.303370787,89
1003,2.25,8
310,3.6,145
477,3.210526316,95
982,2.8,20
1118,3.255319149,47
1299,3,8
918,3,8
1009,3.375,64
811,3.944444444,18
1283,2.684210526,19
30,3.945945946,37
878,2.515151515,33
555,2,10
1277,3.421052632,19
988,2.313953488,86
1495,3.6,5
537,3.633333333,30
1487,2,5
1253,2.428571429,7
672,2.723076923,65
1459,3.571428571,7
1036,2.75,24
574,2.2,15
1407,2.25,20
691,3.5,16
1013,2.289473684,38
833,3.204081633,49
584,3.544303797,79
606,4.045454545,66
964,3.333333333,9
733,3.2,15
947,3.235294118,17
1492,4,1
1000,3,10
1274,1.727272727,11
1403,2.75,4
1221,3.487179487,39
967,3.166666667,12
1219,2.9,20
1386,2.666666667,6
889,3.384615385,13
861,2.333333333,3
1300,2.333333333,9
784,1,2
989,2.84375,32
1396,4.2,5
1330,2.5,4
1148,3.333333333,9
1313,3.142857143,14
1387,2,3
701,4,10
247,1.8,5
1285,3.133333333,15
1505,4,1
1305,2.428571429,7
1562,1,1
400,2.722222222,18
730,3.5,24
1586,1,1
1159,3.545454545,11
1399,2.428571429,7
1589,3,4
1349,1,1
1412,1.666666667,6
677,3,1
1402,2.75,4
851,3.75,4
1532,2,2
1340,1,1
1651,4,1
1552,2,3
1656,3.5,2
1612,3.75,4
1595,2,1
1610,2,3
1629,4,2
1481,3,2
1658,3,3
1542,3,2
1626,1,1
1652,1.666666667,3
1356,2.666666667,3
1627,3,1
1433,2,2
1574,1,1
1494,1,1
1679,3,1
974,3.03125,32
213,3.985074627,134
59,4.060240964,83
554,2.803921569,102
44,3.341772152,79
299,2.931506849,73
